SKU,Name,AroniumPrice,AppPrice,AroniumTax,AppTax,AroniumStock,AppStock,Status,Diff
10110,Dimethoate 100mls,2.50,2.50,15.5,15.5,0.0,5.0,OK,
10111,Dishwasher 750mls,1.00,1.00,15.5,15.5,0.0,0.0,OK,
10112,Dishwasher 2litres,2.50,2.50,15.5,15.5,0.0,0.0,OK,
10113,Disnis 500mls,10.00,10.00,0,0,0.0,0.0,OK,
10118,Dry Sow & Boar Maxi pack 20kg,32.00,32.00,0,0,0.0,0.0,OK,
10119,Dry Sow & Boar Maxi pack 5kg,9.00,9.00,0,0,0.0,6.0,OK,
10120,Dyﬂy 250g,6.50,6.50,0,0,0.0,0.0,OK,
10130,Esb3 25g,4.00,4.00,0,0,0.0,0.0,OK,
10131,Estrumate 20mls,42.00,42.00,0,0,0.0,0.0,OK,
10132,Exit Wound Remedy 100mls,5.50,5.50,0,0,0.0,24.0,OK,
10133,Eye Ointment 5g,4.00,4.00,0,0,0.0,0.0,OK,
10135,Farmchem 5litres,24.00,24.00,0,0,0.0,0.0,OK,
10136,Farmchem 500mls,6.00,6.00,0,0,0.0,0.0,OK,
10137,Feedscoop,5.00,5.00,15.5,15.5,0.0,0.0,OK,
10138,Fivox 10% 100mls,4.00,4.00,0,0,0.0,0.0,OK,
10139,Fivox 20% 100mls,6.50,6.50,0,0,0.0,0.0,OK,
10140,Flaveco 400g,3.50,3.50,0,0,0.0,54.0,OK,
10142,Footbath,15.00,15.00,15.5,15.5,0.0,0.0,OK,
10143,Glucortin 50mls,6.00,6.00,0,0,0.0,0.0,OK,
10144,Guard rat killer 100g,3.50,3.50,0,0,0.0,0.0,OK,
10145,Guard rat killer 50g,2.50,2.50,0,0,0.0,0.0,OK,
10121,Ear Notcher,17.00,17.00,15.5,15.5,0.0,23.0,OK,
10122,Eartaggs,0.50,0.50,15.5,15.5,0.0,3607.0,OK,
11243,Carrots Nantes 5g,4.00,4.00,15.5,15.5,0.0,0.0,OK,
10123,Eartagg Applicator,17.00,17.00,15.5,15.5,0.0,0.0,OK,
10124,Ecoterex 1kg,6.00,6.00,0,0,0.0,0.0,OK,
10125,Ecotet 6g,1.00,1.00,0,0,0.0,0.0,OK,
10146,Shova Gumshoes,10.00,10.00,15.5,15.5,0.0,0.0,OK,
10147,Hanging Scale 50kg,12.00,12.00,15.5,15.5,0.0,0.0,OK,
10002,Broiler Starter Maxi 7kg,16.00,16.00,0,0,0.0,7.0,OK,
10007,Broiler Grower meal 50kg,30.00,30.00,0,0,0.0,0.0,OK,
11377,Led bulb 40Watts,2.50,2.50,15.5,15.5,0.0,4.0,OK,
10010,CHICKEN FEEDER -10 KGS,8.00,8.00,15.5,15.5,0.0,0.0,OK,
10012,CHICKEN DRINKER -15 LITRES,10.00,10.00,15.5,15.5,0.0,1.0,OK,
10013,CHICKEN DRINKER -3 LITRES,3.00,3.00,15.5,15.5,0.0,73.0,OK,
10015,CHICKEN FEEDER -6 KGS,5.00,5.00,15.5,15.5,0.0,5.0,OK,
10016,CHICKEN DRINKER-6 LITRES,5.00,5.00,15.5,15.5,0.0,45.0,OK,
10018,Albendazole tablets,1.00,1.00,0,0,0.0,0.0,OK,
10025,Amino Grow 100g,4.50,4.50,0,0,0.0,0.0,OK,
10031,Ashiver 10mls,3.00,3.00,0,0,0.0,0.0,OK,
10043,Astrisul 25g,4.00,4.00,0,0,0.0,0.0,OK,
10049,Bimectin 250mls,30.00,30.00,0,0,0.0,0.0,OK,
10056,Bremamed 100g,13.00,13.00,0,0,0.0,0.0,OK,
10054,Blowing Infrared light,20.00,20.00,15.5,15.5,0.0,0.0,OK,
10057,Broiler Concentrate 25kg,23.00,23.00,0,0,0.0,0.0,OK,
10062,Broiler ﬁnisher pellets 50kg,33.00,33.00,0,0,0.0,0.0,OK,
10063,Broiler ﬁnisher pellets 5kg,5.00,5.00,0,0,0.0,40.0,OK,
10066,Broiler Grower pellets 10kg,10.00,10.00,0,0,0.0,35.0,OK,
10074,Buddizo small,50.00,50.00,15.5,15.5,0.0,0.0,OK,
10075,Bulb 5w,2.00,2.00,15.5,15.5,0.0,0.0,OK,
10077,Butachem 50mls,18.00,18.00,0,0,0.0,0.0,OK,
10080,Castrating rings,0.10,0.10,15.5,15.5,0.0,644.0,OK,
10081,Rubber Ring Applicator,13.00,13.00,15.5,15.5,0.0,7.0,OK,
10117,Dozing Gun Manual,35.00,35.00,15.5,15.5,0.0,0.0,OK,
10115,Doom 300mls,2.50,2.50,15.5,15.5,0.0,12.0,OK,
10126,EggTrays,0.15,0.15,15.5,15.5,0.0,400.0,OK,
10127,Electromix Ws 100g,2.50,2.50,0,0,0.0,0.0,OK,
10128,Enrocip 100mls,8.00,8.00,0,0,0.0,0.0,OK,
10129,Esb3 100g,15.00,15.00,0,0,0.0,0.0,OK,
