Item Name,Average Unit Cost,Department Name
102949/10,1.1,WHEEL BEARING
CBT 38,2.68,BALL JOINTS
DAC 387440 ABS,4.23,WHEEL BEARING
56110-35525/343369,9.67,SHOCKS
LM102949/10,1.1,WHEEL BEARING
50841/2-SR3-030,3.86,ENGINE MOUNTING
48530-44020,11.51,SHOCKS
RA 4,3,KNUCKLES
48654-12090,3,BLACK BUSHES
31230-35060,3.27,CLUTCH BEARING
DAC 41KWD01,3,WHEEL BEARING
BJ 63,5,BALL JOINTS
31420-36170,7,CLUTCH MASTER CYLINDER
341332/3,14.14,SHOCKS
12372-21230,10.61,ENGINE MOUNTING
31230-71010,3.27,THRUST BREARINGS
A222,3.29,BRAKE PADS
CTX 014,14,PRESSURE PLATES
B455-34-380,6.56,SHOCK PADS
D354-39-D40A / 040A,9.75,ENGINE MOUNTING
48603-33021,5.52,SHOCK PADS
56210-4N003 / 343422,8.28,SHOCKS
CEMZ 11,10,TIE ROD ENDS
48521-VW025,3.74268,KNUCKLES
48725-OD040,4.44,BLACK BUSHES
56210/11-WF126 / 341357/8,11.84,SHOCKS
43502-26070,13.11,HUB
40204-AX600,5.92,HUB
CEHO 60,8.28,TIE ROD ENDS
44600-SEL-000,10,HUB
DAC3572/26,4,WHEEL BEARING
BJ 79,5,BALL JOINTS
51392-SEL-T01,3,BLACK BUSHES
CEHO 6,7,TIE ROD ENDS
DAC3873/40 ABS,4.14,WHEEL BEARING
ST-26-27T,6.9,TRIPODS
48609-OK040,6.634,SHOCK PADS
LM104948/10,2.5,WHEEL BEARING
DAC4272/38,4,WHEEL BEARING
BJ 30,5,BALL JOINTS
H8007,2,STABILIZER LINKS
52610-S2H-004,10.09,SHOCKS
CET 3L,8.09,TIE ROD ENDS
GWT116A,10.35,WATER PUMP
DN 047,9.66,CLUTCH PLATE
DAC3572/33,4,WHEEL BEARING
CTX 084,13,PRESSURE PLATES
BJ191,5,BALL JOINTS
CLT 5/6,3,STABILIZER LINKS
CRN 47,3,KNUCKLES
CV 167,10,CV JOINTS
54302/3-1KC00 NISSAN JOKE,15,SHOCKS
MR165659 / DM916,12.04,CLUTCH PLATE
3440007,6.25,SHOCKS
UJ-1046,5,TRIPODS
CBMZ 24,3.93,BALL JOINTS
H0202,3,STABILIZER LINKS
H8003,3,KNUCKLES
HO 54,10,CV JOINTS
A344,5,BRAKE PADS
CEN 130/1 TIE ROD END,5.2,TIE ROD ENDS
CEN 47/HEN 47 TIE ROD ENDS,4.41,TIE ROD ENDS
CET 98/9TIE ROD ENDS,6.2,TIE ROD ENDS
CET 70TIE ROD ENDS,6.3,TIE ROD ENDS
CET 92TIE ROD ENDS,5.5,TIE ROD ENDS
UC2M-32-280/90TIE ROD END,4.1,TIE ROD ENDS
CET166/7TIE ROD ENDS,6.45,TIE ROD ENDS
CET 103 /4TIE ROD ENDS,6.16,TIE ROD ENDS
CET 150 TIE ROD ENDS,5.2,TIE ROD ENDS
CET63 TIE ROD ENDS,7,TIE ROD ENDS
CET 94/5TIE ROD ENDS,8,TIE ROD ENDS
CET83 TIE ROD ENDS,5.67,TIE ROD ENDS
TO-04 23 TH TRIPODS,2.79,TRIPODS
22TH(SMALL) TRIPOD,3,TRIPODS
HO-519/25TH TRIPOD,3,TRIPODS
30502 -IW720 / TB 27,5,THRUST BREARINGS
31230-35090 THRUST BEARING,3,THRUST BREARINGS
H0002 BALL JOINTS,5,BALL JOINTS
6202 WHEEL BEARING,0.39,WHEEL BEARING
51920-SAA-015 SHOCK PADS,3.18,SHOCK PADS
48609-06050R SHOCK P,5.23,SHOCK PADS
294-3 / R0 09,7.88,HUB
42410-12210 / 3DACF026F-7,13,HUB
51KWHO1 / RO 73,7.93,HUB
43502-12090,7.38,HUB
43560-26010,11.65,HUB
42201-S10-A01,7,HUB
43502-10030,7.53,HUB
43200-4M400,10.99,HUB
43502-52030,6.88,HUB
40202-2Y010,6.44,HUB
40202-AX00,6.44,HUB
40202-4M400,6.98,HUB
43502-12140,6.86,HUB
DN004 CLUTCH PLATE,5.95,CLUTCH PLATE
DN63 CLUTCH  PLATE,10.61,CLUTCH PLATE
DM35 CLUTCH PLATE,7.2,CLUTCH PLATE
DT124CLUTCH PLATE,6.68,CLUTCH PLATE
DT137 CLUTCH PLATE,13.15,CLUTCH PLATE
DT94 / 31250-36412,12.25,CLUTCH PLATE
DT146 CLUTCH PLATE,12.1,CLUTCH PLATE
DT123 CLUTCH PLATE,6.76,CLUTCH PLATE
DT72CLUTCH PLATE,11.39,CLUTCH PLATE
30100-VX28ACLUTCH PLATE,13.26,CLUTCH PLATE
DT30 CLUTCH PLATE,8.43,CLUTCH PLATE
C100-34-700/900,21.04,SHOCKS
CLHO 60/61,4.14,STABILIZER LINKS
23390-64450,1.8,NON GUD FUEL AND OIL FILTERS
8-97109-246-0,23.01,CLUTCH PLATE
12372-28041,8,ENGINE MOUNTING
UJ-28,5,TRIPODS
31210-12190,14,PRESSURE PLATES
CBN 70,5,BALL JOINTS
H8002,3,KNUCKLES
MA 43,10,CV JOINTS
335050/1,21.37,SHOCKS
DT 133 / 31250-36494,6.76,CLUTCH PLATE
GUN-1100 / UJ-1100,2.76,TRIPODS
CBN 69,5,BALL JOINTS
TO 36,7.49,CV JOINTS
04465-60280,5,BRAKE PADS
